Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name,Year,brand,Mileage_mi,Condition_car
2025 Volkswagen Atlas 2.0T SEL,New,,46967.0,883.0,Bill Jacobs VW,2025,Volkswagen,,New
2024 Volkswagen Tiguan 2.0T S 4MOTION,New,,30139.0,567.0,Bill Jacobs VW,2024,Volkswagen,,New
2007 Lexus RX 400h Base,Used,203636,6950.0,131.0,Global Auto Finance & Lease,2007,Lexus,203636.0,Used
2017 GMC Acadia SLE-2,Used,98081,14995.0,282.0,Baha Auto Group Inc.,2017,GMC,98081.0,Used
2015 Jaguar F-TYPE S,Used,36096,28988.0,545.0,iCars Chicago,2015,Jaguar,36096.0,Used
2023 Hyundai Santa Fe HEV SEL Premium,Used,14093,32998.0,620.0,CarMax Tyler,2023,Hyundai,14093.0,Used
2016 Chevrolet Malibu Limited LTZ,Used,77254,11272.0,212.0,Old Orchard Nissan,2016,Chevrolet,77254.0,Used
2024 Toyota RAV4 Prime XSE,Used,9286,55998.0,1053.0,CarMax Hillside (Eisenhower Expy),2024,Toyota,9286.0,Used
2024 Audi RS 5 2.9T,Used,5092,76700.0,1442.0,Audi Morton Grove,2024,Audi,5092.0,Used
2016 Volvo S60 Inscription T5 Drive-E Platinum,Used,58990,15999.0,301.0,McGrath Acura of Morton Grove,2016,Volvo,58990.0,Used
2017 Jaguar F-TYPE R,Used,76646,36980.0,695.0,Lucky Motors Megastore of Villa Park,2017,Jaguar,76646.0,Used
2018 Volvo XC90 Hybrid T8 Momentum,Used,51211,26989.0,507.0,Fields Volvo Cars of Northfield,2018,Volvo,51211.0,Used
2021 Lamborghini Urus Base,Used,18520,189800.0,3568.0,Ultimo Motors East,2021,Lamborghini,18520.0,Used
2017 Volvo XC90 Hybrid T8 Inscription,Used,82497,21500.0,404.0,Cars147.com,2017,Volvo,82497.0,Used
2013 Volvo C70 T5,Used,53838,17950.0,337.0,Net Motorcars,2013,Volvo,53838.0,Used
2023 Tesla Model Y Performance Dual Motor All-Wheel Drive,Used,10432,36855.0,693.0,Autos of Chicago,2023,Tesla,10432.0,Used
2024 BMW M440 Gran Coupe i xDrive,Used,14050,57000.0,1071.0,BMW of Orland Park,2024,BMW,14050.0,Used
2021 Jaguar F-TYPE First Edition P300 RWD Automatic,Used,26628,42450.0,798.0,Guaranteed Motor Cars,2021,Jaguar,26628.0,Used
2024 Lexus LS 500 Base,Used,200,92995.0,1748.0,Woodfield Lexus,2024,Lexus,200.0,Used
2017 Jaguar F-TYPE R Convertible 2D,Used,41652,45900.0,863.0,Exotic Motors,2017,Jaguar,41652.0,Used
2023 Mercedes-Benz AMG E 63 S 4MATIC,Mercedes-Benz Certified,10753,139999.0,2631.0,Mercedes-Benz of Hoffman Estates,2023,Mercedes-Benz,10753.0,Certified
2024 Ford Transit-350 Base,New,,55021.0,1034.0,Fair Oaks Ford,2024,Ford,,New
2020 Ford Transit Connect Base,Used,100244,15995.0,301.0,Blue Sky Automotive - Chicago,2020,Ford,100244.0,Used
2013 GMC Terrain SLE-2,Used,97314,9101.0,171.0,Webb Chevy,2013,GMC,97314.0,Used
2019 Ford Mustang Ecoboost,Used,32523,23998.0,451.0,CarMax Ellicott City,2019,Ford,32523.0,Used
2022 RAM 1500 Bighorn,Used,15835,35998.0,677.0,CarMax Hickory,2022,RAM,15835.0,Used
2024 Subaru Ascent Onyx Edition 7-Passenger,Subaru Certified,3169,40639.0,764.0,The Autobarn Countryside Subaru,2024,Subaru,3169.0,Certified
2019 Lexus ES 350 F Sport,Used,66082,28899.0,543.0,Ettleson Buick GMC,2019,Lexus,66082.0,Used
2022 Dodge Durango R/T AWD,Used,57705,35000.0,658.0,Napleton's River Oaks Chrysler Jeep Dodge RAM,2022,Dodge,57705.0,Used
2025 INFINITI QX80 Luxe,New,,94797.0,1782.0,INFINITI of Orland Park A Zeigler Auto Group Company,2025,INFINITI,,New
2025 Nissan Frontier SV,New,,38244.0,719.0,Glendale Nissan,2025,Nissan,,New
2025 Lincoln Aviator Reserve AWD,New,,77650.0,1460.0,Highland Park Ford Lincoln,2025,Lincoln,,New
2025 Chevrolet Equinox 1LT,New,,43590.0,819.0,Tasca Chevrolet Wheeling,2025,Chevrolet,,New
