Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name,Year,brand,Mileage_mi,Condition_car
2023 BMW M2 Base,Used,2496,63000.0,1184.0,Murgado Ford of Chicago,2023,BMW,2496.0,Used
2020 Dodge Charger SXT,Used,98302,14995.0,282.0,Blue Sky Auto Sales - Brighton Park,2020,Dodge,98302.0,Used
2016 Scion iM Base,Used,72040,12690.0,239.0,Mcgrath Evanston Subaru,2016,Scion,72040.0,Used
2022 Volvo XC60 Recharge Plug-In Hybrid T8 Inscription,Used,31580,38998.0,733.0,CarMax Birmingham,2022,Volvo,31580.0,Used
2012 Mitsubishi Lancer SE,Used,54197,9995.0,188.0,Moto Zone Inc.,2012,Mitsubishi,54197.0,Used
2023 Chevrolet Bolt EUV FWD LT,Used,19045,18995.0,357.0,Luxury Motors Credit,2023,Chevrolet,19045.0,Used
1984 BMW 733 733i,Used,139186,17985.0,338.0,Chicago Cars US,1984,BMW,139186.0,Used
2017 Toyota Highlander XLE,Used,84581,23998.0,451.0,CarMax Charleston,2017,Toyota,84581.0,Used
2021 Lexus ES 250 250,Used,25336,29708.0,558.0,The Autobarn Volkswagen of Countryside,2021,Lexus,25336.0,Used
2025 Chevrolet Trailblazer LT,New,,27970.0,526.0,Jennings Chevy / VW,2025,Chevrolet,,New
2017 Lexus GS 350 F Sport,Used,44156,30888.0,581.0,Chicago Auto Place,2017,Lexus,44156.0,Used
2020 Lincoln Continental Reserve,Used,48625,31395.0,590.0,Napleton Autowerks River Oaks,2020,Lincoln,48625.0,Used
2021 Lexus ES 250 250,Used,13860,33995.0,639.0,Lombard Toyota,2021,Lexus,13860.0,Used
2014 Cadillac CTS-V Base,Used,12664,52995.0,996.0,D&M Motorsports,2014,Cadillac,12664.0,Used
2020 Lexus RC 350 F Sport,Used,30200,36700.0,690.0,Volvo Cars Lisle,2020,Lexus,30200.0,Used
2011 Audi TTS 2.0T Premium Plus,Used,34316,22995.0,432.0,Auto Showcase of Carol Stream,2011,Audi,34316.0,Used
2021 BMW M2 Competition,Used,37060,48849.0,918.0,Gravity Autos Chicago,2021,BMW,37060.0,Used
1997 Ferrari F355 Spider,Used,27096,92800.0,1744.0,Diamond Motorworks,1997,Ferrari,27096.0,Used
2021 Lexus RX 350L Base,Used,26094,38505.0,724.0,Muller's Woodfield Acura,2021,Lexus,26094.0,Used
1999 Toyota Celica SS3 5 SPEED MANUAL,Used,84529,15990.0,301.0,Car City Inc,1999,Toyota,84529.0,Used
2009 INFINITI FX50 FX50 AWD,Used,154947,11990.0,225.0,Car City Inc,2009,INFINITI,154947.0,Used
2022 Audi e-tron GT Premium Plus,Used,7029,53569.0,1007.0,Alfa Romeo of Naperville,2022,Audi,7029.0,Used
2021 Lexus LS 500 F Sport,Prequalify now,105213,40995.0,771.0,Baha Auto Sales,2021,Lexus,105213.0,Used
2020 Audi A3 2.0T Premium,Used,48880,21850.0,411.0,Sherman Dodge Chrysler Jeep RAM,2020,Audi,48880.0,Used
2024 Ford Bronco Sport Free Wheeling,New,,37270.0,701.0,Al Piemonte Ford,2024,Ford,,New
2020 Genesis G70,Used,54213,22998.0,432.0,CarMax Austin South,2020,Genesis,54213.0,Used
2006 Jeep Commander Base,Used,136973,5000.0,94.0,Advantage Chevrolet of Bridgeview,2006,Jeep,136973.0,Used
2019 Ford EcoSport SE,Used,70726,15998.0,301.0,CarMax Oak Lawn,2019,Ford,70726.0,Used
2023 Cadillac XT4 Luxury,Used,18709,29998.0,564.0,CarMax Jacksonville,2023,Cadillac,18709.0,Used
2024 Ford Transit-250 148 WB Medium Roof Cargo,New,,47699.0,897.0,Bredemann Ford,2024,Ford,,New
2024 Ford Transit-250 Base,New,,52399.0,985.0,Bredemann Ford,2024,Ford,,New
2024 Ford Ranger XLT,New,,44599.0,838.0,Bredemann Ford,2024,Ford,,New
2012 Land Rover LR2 AWD 4dr HSE,Used,110658,7750.0,146.0,Revved Motors,2012,Land Rover,110658.0,Used
2022 Porsche 718 Cayman GT4,Used,14788,137500.0,2585.0,Napleton Aston Martin Maserati,2022,Porsche,14788.0,Used
2025 Kia Carnival Hybrid EX,New,,43873.0,825.0,Napleton River Oaks Hyundai Kia,2025,Kia,,New
2014 Nissan Murano CrossCabriolet Base,Used,76400,11990.0,225.0,Auto House Motors,2014,Nissan,76400.0,Used
2024 Mercedes-Benz EQB 350 4MATIC,New,,63115.0,1186.0,Mercedes-Benz of Orland Park,2024,Mercedes-Benz,,New
2024 Ford Transit-250 Base,New,,44966.0,845.0,Ford of Homewood,2024,Ford,,New
2021 Volkswagen Arteon 2.0T SEL Premium R-Line 4MOTION,Volkswagen Certified,43284,26490.0,498.0,Castle Volkswagen of Schaumburg,2021,Volkswagen,43284.0,Certified
2011 BMW 1 Series M Base,Used,44856,62998.0,1184.0,Blackdog Performance Cars,2011,BMW,44856.0,Used
2021 Toyota C-HR LE,Used,54501,20000.0,376.0,Woody Buick GMC Naperville,2021,Toyota,54501.0,Used
2017 Chevrolet Silverado 1500 LTZ,Used,83666,26990.0,507.0,Shaver Preferred Motors,2017,Chevrolet,83666.0,Used
2023 Chevrolet Traverse LT Cloth,Used,67861,24000.0,451.0,Kingdom Chevrolet,2023,Chevrolet,67861.0,Used
2024 Hyundai Elantra SEL,New,,20500.0,385.0,McGrath City Hyundai,2024,Hyundai,,New
2007 Volkswagen Eos 2.0T,Used,64274,8495.0,160.0,Moto Zone Inc.,2007,Volkswagen,64274.0,Used
2024 Acura ZDX A-Spec,Used,6598,45998.0,865.0,CarMax Columbus,2024,Acura,6598.0,Used
2025 Chevrolet Equinox 1LT,New,,34766.0,653.0,Advantage Chevrolet of Bridgeview,2025,Chevrolet,,New
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,43296.0,814.0,The Autobarn Volkswagen of Countryside,2025,Volkswagen,,New
2025 Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,New,,48449.0,911.0,The Autobarn Volkswagen of Countryside,2025,Volkswagen,,New
2024 Volkswagen Atlas Cross Sport 2.0T SEL R-Line,New,,44566.0,838.0,The Autobarn Volkswagen of Countryside,2024,Volkswagen,,New
2024 Volkswagen Atlas Cross Sport 2.0T SEL R-Line,New,,44421.0,835.0,The Autobarn Volkswagen of Countryside,2024,Volkswagen,,New
2013 INFINITI G37 X,Used,83771,16998.0,319.0,CarMax Garland,2013,INFINITI,83771.0,Used
2025 Hyundai Elantra SEL,New,,27069.0,509.0,AutoNation Hyundai O'Hare,2025,Hyundai,,New
2025 Hyundai Santa Fe XRT,New,,41889.0,787.0,AutoNation Hyundai O'Hare,2025,Hyundai,,New
2025 Hyundai Santa Fe Limited,New,,47386.0,891.0,AutoNation Hyundai O'Hare,2025,Hyundai,,New
2022 BMW X2 xDrive28i,Used,27145,27491.0,517.0,Laurel BMW of Westmont,2022,BMW,27145.0,Used
2006 Mercedes-Benz SLK-Class SLK280 Roadster,Used,79209,10985.0,206.0,Star Auto Works,2006,Mercedes-Benz,79209.0,Used
2022 Jeep Compass Limited,Used,18237,22911.0,431.0,Zeigler Chrysler Dodge Jeep Ram of Downers Grove,2022,Jeep,18237.0,Used
2025 Subaru Crosstrek Limited,New,,35790.0,673.0,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars",2025,Subaru,,New
2025 Chevrolet Equinox 1LT,New,,33725.0,634.0,Tasca Chevrolet Wheeling,2025,Chevrolet,,New
2024 Audi Q3 S line Premium,Audi Certified,4634,36595.0,688.0,The Audi Exchange,2024,Audi,4634.0,Certified
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,68577.0,1289.0,Mercedes-Benz of Hoffman Estates,2025,Mercedes-Benz,,New
2024 Ford Bronco Big Bend,New,,49200.0,925.0,Sutton Ford,2024,Ford,,New
2001 Toyota 4Runner Limited,Used,244277,9896.0,186.0,Windy City Motors,2001,Toyota,244277.0,Used
2023 Volkswagen Atlas Cross Sport SE w/Tech,Used,18744,32998.0,620.0,CarMax Hillside (Eisenhower Expy),2023,Volkswagen,18744.0,Used
2015 BMW M235 2dr Conv M235i,Used,86959,17990.0,338.0,Auto Gallery Chicago,2015,BMW,86959.0,Used
2019 Lexus RX 350,Used,110120,26998.0,507.0,CarMax Myrtle Beach,2019,Lexus,110120.0,Used
2023 Nissan Altima S,Used,33610,21998.0,413.0,CarMax Southwest Freeway,2023,Nissan,33610.0,Used
2023 Cadillac XT5 Premium Luxury,Used,39873,31447.0,591.0,Zeigler Nissan of Orland Park,2023,Cadillac,39873.0,Used
2025 Subaru Crosstrek Premium,New,,29358.0,552.0,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars",2025,Subaru,,New
2025 Genesis GV70 2.5T,New,,48460.0,911.0,Genesis of Schaumburg,2025,Genesis,,New
2024 Ford Bronco Badlands,New,,56290.0,1058.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Badlands,New,,56549.0,1063.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Wildtrak,New,,65290.0,1227.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Badlands,New,,60720.0,1141.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Big Bend,New,,43890.0,825.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Badlands,New,,61250.0,1151.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Badlands,New,,57295.0,1077.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Big Bend,New,,50895.0,957.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Raptor,New,,89995.0,1692.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Badlands,New,,60290.0,1133.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Outer Banks,New,,50495.0,949.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Badlands,New,,58485.0,1099.0,Webb Ford,2024,Ford,,New
2023 Volkswagen ID.4 AWD Pro S,Used,9498,29851.0,561.0,Bill Jacobs VW,2023,Volkswagen,9498.0,Used
2023 Volkswagen ID.4 AWD Pro,Used,7770,27807.0,523.0,Bill Jacobs VW,2023,Volkswagen,7770.0,Used
2024 Dodge Durango GT AWD,New,,45410.0,854.0,Midway Dodge,2024,Dodge,,New
2025 Hyundai Santa Fe Limited,New,,42543.0,800.0,McGrath City Hyundai,2025,Hyundai,,New
2025 Hyundai Santa Fe SE,New,,38110.0,716.0,McGrath City Hyundai,2025,Hyundai,,New
2023 Mercedes-Benz AMG C 43,Used,12155,57998.0,1090.0,CarMax Memphis,2023,Mercedes-Benz,12155.0,Used
2015 Jeep Renegade Sport,Used,52026,10999.0,207.0,Hawk CDJR,2015,Jeep,52026.0,Used
2020 Land Rover Range Rover Velar P250 S R-Dynamic,Used,23246,32980.0,620.0,Driven Auto Sales,2020,Land Rover,23246.0,Used
2019 Audi Q3 Premium Plus,Used,72972,22998.0,432.0,CarMax Oak Lawn,2019,Audi,72972.0,Used
2024 Ford Bronco Badlands,New,,51797.0,974.0,Napleton Ford of Oak Lawn,2024,Ford,,New
2021 Kia Forte EX,Used,24555,19998.0,376.0,CarMax Lynchburg,2021,Kia,24555.0,Used
2019 Volvo XC60 T6 Inscription,Used,41094,31791.0,598.0,Motorcars Express,2019,Volvo,41094.0,Used
2025 Chevrolet Equinox 1LT,New,,29953.0,563.0,Castle Chevrolet of Villa Park,2025,Chevrolet,,New
2024 Ford Bronco Badlands,New,,65249.0,1226.0,Roesch Ford,2024,Ford,,New
2020 Land Rover Range Rover Velar P250 S R-Dynamic,Used,58056,33888.0,637.0,Chicago Auto Place,2020,Land Rover,58056.0,Used
2015 BMW 535 i xDrive,Used,118403,10400.0,195.0,Haus of Imports,2015,BMW,118403.0,Used
2024 INFINITI QX60 Luxe,INFINITI Certified,6252,46900.0,882.0,INFINITI of Orland Park A Zeigler Auto Group Company,2024,INFINITI,6252.0,Certified
2025 Audi RS 5 2.9T,New,,85505.0,1607.0,The Audi Exchange,2025,Audi,,New
2023 Genesis GV60 Performance,Used,5121,40995.0,771.0,Genesis of Highland Park,2023,Genesis,5121.0,Used
2024 Ford Bronco Wildtrak,New,,65190.0,1225.0,Webb Ford,2024,Ford,,New
2024 Ford Bronco Black Diamond,New,,46520.0,874.0,Webb Ford,2024,Ford,,New
2023 Volkswagen ID.4 Pro S,Used,4130,32091.0,603.0,Bill Jacobs VW,2023,Volkswagen,4130.0,Used
2023 RAM ProMaster 3500 High Roof,Used,51210,37995.0,714.0,High Quality Auto Group,2023,RAM,51210.0,Used
2025 Mercedes-Benz GLE-Class GLE 450,New,,83035.0,1561.0,Loeber Motors Mercedes-Benz,2025,Mercedes-Benz,,New
2025 Nissan Rogue SV,New,,35480.0,667.0,Al Piemonte Nissan,2025,Nissan,,New
2021 Audi A5 Sportback Premium Plus,Used,20268,34998.0,658.0,CarMax Warner Robins,2021,Audi,20268.0,Used
2018 Mazda Mazda3 Touring,Used,105870,15998.0,301.0,CarMax Shreveport,2018,Mazda,105870.0,Used
2025 Jeep Grand Cherokee Limited X,New,,43778.0,823.0,Jack Phelan Chrysler Dodge Jeep RAM,2025,Jeep,,New
2025 Jeep Grand Cherokee Laredo,New,,36821.0,692.0,Jack Phelan Chrysler Dodge Jeep RAM,2025,Jeep,,New
2023 Ford F-150 XL,Used,29051,39995.0,752.0,Westfield Ford,2023,Ford,29051.0,Used
2022 Toyota Camry XSE,Used,43773,26995.0,507.0,Larry Roesch Dodge Chrysler Jeep RAM,2022,Toyota,43773.0,Used
2023 BMW X1 xDrive28i,Used,31461,29985.0,564.0,Jidd Motors Mitsubishi,2023,BMW,31461.0,Used
2009 Mercedes-Benz SL-Class SL 63 AMG 2dr Convertible,Used,124200,24994.0,470.0,MGM Classic Cars,2009,Mercedes-Benz,124200.0,Used
2024 Ford Transit-250 Base,New,,48346.0,909.0,Tasca Ford Midlothian,2024,Ford,,New
2018 Cadillac ATS 2.0L Turbo Luxury,Used,24150,15950.0,300.0,Chicago Motor Credit,2018,Cadillac,24150.0,Used
2025 Genesis GV70 2.5T,New,,47810.0,899.0,Genesis of Schaumburg,2025,Genesis,,New
2024 Ford Bronco Outer Banks,New,,54328.0,1021.0,Schaumburg Ford,2024,Ford,,New
2024 Chevrolet Malibu FWD RS,Used,20407,20990.0,395.0,City Volkswagen of Highland,2024,Chevrolet,20407.0,Used
2023 Ford F-150 XLT,Ford Certified,21617,37889.0,712.0,Hawk Ford of Carol Stream,2023,Ford,21617.0,Certified
2020 Nissan Altima 2.5 S,Used,80191,13991.0,263.0,Sutton Ford,2020,Nissan,80191.0,Used
2024 Subaru Crosstrek Wilderness,New,,36566.0,687.0,Napleton's Palatine Subaru,2024,Subaru,,New
2024 Subaru Crosstrek Premium,New,,30841.0,580.0,Napleton's Palatine Subaru,2024,Subaru,,New
2013 Honda Pilot EX-L,Used,204560,7677.0,144.0,Castle Chrysler Dodge Jeep Ram of Naperville,2013,Honda,204560.0,Used
2024 Ford Bronco Outer Banks,New,,59315.0,1115.0,Fair Oaks Ford,2024,Ford,,New
2022 Audi S5 CERTIFIED Premium/ Convenience/ 19s,Audi Certified,16088,46444.0,873.0,Fletcher Jones Audi,2022,Audi,16088.0,Certified
2025 Dodge Durango GT AWD,New,,45985.0,864.0,Midway Dodge,2025,Dodge,,New
2023 Dodge Durango SXT RWD,Used,44059,22500.0,423.0,Kingdom Chevrolet,2023,Dodge,44059.0,Used
2019 Volkswagen Arteon SEL,Used,58659,23998.0,451.0,CarMax El Paso,2019,Volkswagen,58659.0,Used
2015 Chevrolet Impala Limited Police,Used,48567,11595.0,218.0,Asia Motors Inc.,2015,Chevrolet,48567.0,Used
2023 Toyota Sienna XLE 8 Passenger,Used,45404,39695.0,746.0,Countryside Mitsubishi,2023,Toyota,45404.0,Used
2021 Audi Q7 Premium Plus,Used,32995,41998.0,789.0,CarMax Columbia,2021,Audi,32995.0,Used
2024 Alfa Romeo Stelvio Veloce,New,,52620.0,989.0,Glenview Luxury Imports,2024,Alfa Romeo,,New
2024 Toyota Sequoia Platinum,Used,134,81500.0,1532.0,Bredemann Toyota/Scion,2024,Toyota,134.0,Used
2025 Hyundai Santa Fe Calligraphy,New,,49631.0,933.0,Wilkins Hyundai,2025,Hyundai,,New
2024 Ford Bronco Outer Banks,New,,53526.0,1006.0,Roesch Ford,2024,Ford,,New
2022 Lexus RX 350 Base,Used,30917,44995.0,846.0,Lombard Toyota,2022,Lexus,30917.0,Used
2025 Alfa Romeo Tonale AWD,New,,42625.0,801.0,Joe Rizza Maserati Alfa Romeo,2025,Alfa Romeo,,New
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,71716.0,1348.0,Mercedes-Benz of Hoffman Estates,2025,Mercedes-Benz,,New
2025 Subaru Crosstrek Limited,New,,35516.0,668.0,Napleton's Palatine Subaru,2025,Subaru,,New
2024 Subaru Crosstrek Premium,New,,28182.0,530.0,Napleton's Palatine Subaru,2024,Subaru,,New
2024 Subaru Crosstrek Premium,New,,30844.0,580.0,Napleton's Palatine Subaru,2024,Subaru,,New
2024 Chevrolet Equinox LT,New,,30885.0,581.0,Phillips Chevrolet,2024,Chevrolet,,New
2024 BMW M235 Gran Coupe i xDrive,New,,57730.0,1085.0,Knauz Auto Park,2024,BMW,,New
2024 BMW X3 xDrive30i,BMW Certified,1753,46995.0,883.0,Knauz Auto Park,2024,BMW,1753.0,Certified
2023 Lexus GX 460 Luxury,Used,31849,63890.0,1201.0,McGrath Lexus Chicago,2023,Lexus,31849.0,Used
2025 Honda CR-V LX AWD,Used,1856,29190.0,549.0,McGrath City Honda,2025,Honda,1856.0,Used
2025 Hyundai Elantra SEL Convenience,New,,26670.0,501.0,Wilkins Hyundai,2025,Hyundai,,New
2019 Ford Transit Connect XL,Used,56489,25998.0,489.0,CarMax Myrtle Beach,2019,Ford,56489.0,Used
2021 Lexus RX 350 Base,Used,43597,36795.0,692.0,Jidd Motors Mitsubishi,2021,Lexus,43597.0,Used
2013 Chevrolet Tahoe LTZ,Used,142081,13999.0,263.0,Your Choice Auto Sales of Posen,2013,Chevrolet,142081.0,Used
2022 RAM 1500 Laramie,Used,34125,37197.0,699.0,Napleton River Oaks Hyundai Kia,2022,RAM,34125.0,Used
2015 BMW 428 i xDrive,Used,98508,13983.0,263.0,Star Motor Sales,2015,BMW,98508.0,Used
2022 Honda Pilot Touring 8-Passenger,Used,28503,33799.0,635.0,Bill Kay Downers Grove Nissan,2022,Honda,28503.0,Used
2015 Honda Accord LX,Used,59985,14997.0,282.0,INFINITI of Orland Park A Zeigler Auto Group Company,2015,Honda,59985.0,Used
2025 Nissan Rogue SV,New,,33549.0,631.0,Glendale Nissan,2025,Nissan,,New
2022 Chevrolet Corvette Stingray w/2LT,Used,10589,67989.0,1278.0,Gravity Autos Chicago,2022,Chevrolet,10589.0,Used
2019 Ford F-150 XLT,Used,86868,23495.0,442.0,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,2019,Ford,86868.0,Used
2024 Ford Bronco Outer Banks,New,,58379.0,1097.0,Arlington Heights Ford,2024,Ford,,New
2024 Ford Bronco Outer Banks,New,,54140.0,1018.0,Arlington Heights Ford,2024,Ford,,New
2024 Ford Bronco Black Diamond,New,,50318.0,946.0,Arlington Heights Ford,2024,Ford,,New
2024 Ford Bronco Big Bend,New,,52553.0,988.0,Arlington Heights Ford,2024,Ford,,New
2019 Tesla Model 3 Standard Range,Used,94882,16999.0,320.0,North Naperville Autos,2019,Tesla,94882.0,Used
2023 Chevrolet Suburban RST,Chevrolet Certified,59430,54397.0,1022.0,Phillips Chevrolet,2023,Chevrolet,59430.0,Certified
2024 Ford Bronco Outer Banks,New,,50683.0,953.0,Haggerty Ford,2024,Ford,,New
2004 Toyota Camry LE,Used,134500,5800.0,109.0,Muhammad,2004,Toyota,134500.0,Used
2023 Audi A3 Premium,Used,15686,28951.0,544.0,Fletcher Jones Audi,2023,Audi,15686.0,Used
2022 Audi A4 45 S line Premium Plus,Used,54628,23500.0,442.0,Kingdom Chevrolet,2022,Audi,54628.0,Used
2020 Jeep Grand Cherokee SRT,Used,51329,49379.0,928.0,Mcgrath Evanston Subaru,2020,Jeep,51329.0,Used
2010 Lexus GX 460 Base,Used,133671,14290.0,269.0,Webb Chevy,2010,Lexus,133671.0,Used
2019 Nissan Armada Platinum,Used,74116,24987.0,470.0,Advantage Chevrolet of Bridgeview,2019,Nissan,74116.0,Used
2023 Ford Explorer XLT,Used,39795,27998.0,526.0,CarMax Oak Lawn,2023,Ford,39795.0,Used
2020 Nissan Murano SL,Used,32264,24998.0,470.0,CarMax Myrtle Beach,2020,Nissan,32264.0,Used
2007 Toyota Tundra SR5,Used,278718,8895.0,167.0,Access Automotive,2007,Toyota,278718.0,Used
2015 Jeep Grand Cherokee Laredo,Used,122557,13494.0,254.0,Larry Roesch Dodge Chrysler Jeep RAM,2015,Jeep,122557.0,Used
2016 Ford F-150 XLT,Used,80110,23000.0,432.0,Al Piemonte Buick GMC,2016,Ford,80110.0,Used
2022 Tesla Model 3 Long Range,Used,68911,20995.0,395.0,Highline Auto Sales,2022,Tesla,68911.0,Used
2020 Land Rover Range Rover 3.0L V6 Supercharged HSE,Used,13523,56888.0,1069.0,Chicago Auto Place,2020,Land Rover,13523.0,Used
2022 Porsche Cayenne Platinum Edition,Used,17390,73895.0,1389.0,Jidd Motors Mitsubishi,2022,Porsche,17390.0,Used
2024 Land Rover Range Rover P530 Autobiography,Used,461,184845.0,3474.0,Ogden Lincoln Of Westmont,2024,Land Rover,461.0,Used
2010 Ford Escape XLT,Used,79747,7945.0,149.0,Top Gear Motors,2010,Ford,79747.0,Used
2022 RAM 1500 Limited,Used,50273,43994.0,827.0,Advantage Toyota of River Oaks,2022,RAM,50273.0,Used
2011 Toyota Venza Base,Used,157299,7777.0,146.0,Rt 34 Motorsports,2011,Toyota,157299.0,Used
2025 BMW X1 xDrive28i,New,,46415.0,872.0,BMW of Orland Park,2025,BMW,,New
2021 Chevrolet Tahoe LT,Used,43238,51295.0,964.0,The Chevrolet Exchange,2021,Chevrolet,43238.0,Used
2024 Volkswagen Atlas Cross Sport 2.0T SEL,New,,44360.0,834.0,City Volkswagen of Chicago,2024,Volkswagen,,New
2024 Ford Bronco Big Bend,New,,51540.0,969.0,Zeigler Ford of North Riverside,2024,Ford,,New
2023 Acura TLX Type S,Used,15346,46500.0,874.0,Zeigler Cadillac of Lincolnwood,2023,Acura,15346.0,Used
2019 Nissan Maxima Platinum,Used,47139,24998.0,470.0,CarMax Pharr,2019,Nissan,47139.0,Used
2023 GMC Sierra 1500 Elevation,Certified,19468,46977.0,883.0,Al Piemonte Ford,2023,GMC,19468.0,Certified
2019 Tesla Model 3 Standard Range Plus,Used,52423,21500.0,404.0,Ed Napleton Honda,2019,Tesla,52423.0,Used
2021 Tesla Model 3 Standard Range Plus,Used,48937,22500.0,423.0,Ed Napleton Honda,2021,Tesla,48937.0,Used
2023 Toyota Tundra 1794 Edition,Used,40030,47972.0,902.0,Old Orchard Nissan,2023,Toyota,40030.0,Used
2025 Honda Odyssey Touring,New,,44417.0,835.0,Honda on Grand,2025,Honda,,New
2024 Toyota Corolla LE,Used,22544,19999.0,376.0,Roesch Ford,2024,Toyota,22544.0,Used
2021 BMW M340 i xDrive,Used,32043,45000.0,846.0,Napleton Porsche of Westmont,2021,BMW,32043.0,Used
2003 Honda Civic LX,Used,87163,5950.0,112.0,Revved Motors,2003,Honda,87163.0,Used
2022 Tesla Model 3 Long Range,Used,38271,26986.0,507.0,Star Motor Sales,2022,Tesla,38271.0,Used
2019 Chevrolet Silverado 1500 WT,Used,99024,21792.0,410.0,Castle Chevrolet North,2019,Chevrolet,99024.0,Used
2015 Audi S5 2dr Cabriolet Premium Plus,Used,78846,18980.0,357.0,Driven Auto of Oak Forest,2015,Audi,78846.0,Used
2021 Chevrolet Malibu LT,Used,61164,15750.0,296.0,Glendale Nissan,2021,Chevrolet,61164.0,Used
2018 Tesla Model 3 Long Range,Used,58538,21976.0,413.0,Zeigler Chevrolet,2018,Tesla,58538.0,Used
2015 Honda Civic Si,Used,109782,13934.0,262.0,Napleton's Schaumburg Subaru,2015,Honda,109782.0,Used
2007 Toyota Tundra Base,Used,139460,7500.0,141.0,Carvibe LLC,2007,Toyota,139460.0,Used
2024 Subaru Crosstrek Sport,New,,32920.0,619.0,Napleton's Palatine Subaru,2024,Subaru,,New
2020 Ford F-150 XLT,Ford Certified,75693,28495.0,536.0,Haggerty Ford,2020,Ford,75693.0,Certified
2024 Hyundai Elantra SEL,Used,3436,21874.0,411.0,Napleton Downtown Chevrolet Buick GMC,2024,Hyundai,3436.0,Used
2024 Ford Bronco Raptor,New,,90905.0,1709.0,Murgado Ford of Chicago,2024,Ford,,New
2024 Ford Bronco Black Diamond,New,,45349.0,852.0,Murgado Ford of Chicago,2024,Ford,,New
2024 Buick Envista Sport Touring,Used,3959,30998.0,583.0,CarMax Wichita,2024,Buick,3959.0,Used
2024 Dodge Durango Citadel AWD,New,,55265.0,1039.0,Midway Dodge,2024,Dodge,,New
2021 Ford F-150 XL,Ford Certified,30263,30908.0,581.0,Zeigler Ford of North Riverside,2021,Ford,30263.0,Certified
2015 Land Rover Range Rover Sport Supercharged,Used,111820,17600.0,331.0,Capital Auto Finance,2015,Land Rover,111820.0,Used
2011 Chevrolet Equinox 2LT,Used,35621,10995.0,207.0,Moto Zone Inc.,2011,Chevrolet,35621.0,Used
2022 Kia K5 GT-Line,Used,20470,26998.0,507.0,CarMax Stockton,2022,Kia,20470.0,Used
2018 Ford Focus SE,Used,25403,11888.0,223.0,Jennings Chevy / VW,2018,Ford,25403.0,Used
2024 Mercedes-Benz GLE 350 Base 4MATIC,Used,22991,52998.0,996.0,Jennings Chevy / VW,2024,Mercedes-Benz,22991.0,Used
2021 Honda Pilot Special Edition,Used,56951,29992.0,564.0,Honda on Grand,2021,Honda,56951.0,Used
2015 Acura RDX Technology Package,Used,75814,14995.0,282.0,Ali Luxury Motors,2015,Acura,75814.0,Used
2017 Land Rover Range Rover 3.0L Supercharged HSE,Used,55120,29995.0,564.0,Blue Sky Auto Sales - Crestwood,2017,Land Rover,55120.0,Used
2017 Jeep Grand Cherokee SRT,Used,49428,45888.0,863.0,Chicago Auto Place,2017,Jeep,49428.0,Used
2025 MINI Countryman Cooper ALL4,New,,41580.0,782.0,MINI of Glencoe North Shore,2025,MINI,,New
2023 Audi Q5 45 S line Premium Plus,Used,36820,30411.0,572.0,94 Nissan Of South Holland,2023,Audi,36820.0,Used
2025 Volkswagen Atlas Cross Sport 2.0T SEL Premium,New,,50821.0,955.0,Volkswagen of Palatine,2025,Volkswagen,,New
2016 Bentley Continental GT V8 S,Used,20688,95645.0,1798.0,Autos of Chicago,2016,Bentley,20688.0,Used
2018 Volkswagen Tiguan 2.0T S 4MOTION,Used,56784,14995.0,282.0,Auto Select,2018,Volkswagen,56784.0,Used
2024 Mercedes-Benz Sprinter 3500XD High Roof,New,,73839.0,1388.0,Mercedes-Benz of Hoffman Estates,2024,Mercedes-Benz,,New
2013 Toyota Camry Hybrid LE,Used,73544,14500.0,273.0,Car City Inc,2013,Toyota,73544.0,Used
2025 Lexus IS 350 F SPORT Design,New,,48334.0,909.0,McGrath Lexus Chicago,2025,Lexus,,New
2024 Ford Bronco Black Diamond,New,,54021.0,1015.0,Zeigler Ford of North Riverside,2024,Ford,,New
2020 Chevrolet Bolt EV FWD LT,Used,46130,14999.0,282.0,Currie Motors Chevrolet,2020,Chevrolet,46130.0,Used
2023 Cadillac XT4 Premium Luxury,Used,34810,28998.0,545.0,CarMax Wilmington,2023,Cadillac,34810.0,Used
2024 Volkswagen Atlas 2.0T SE w/Technology 4MOTION,Used,22498,34000.0,639.0,Al Piemonte Nissan,2024,Volkswagen,22498.0,Used
